               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096694,            0.093951,                   0,             0.42913,             0.48183,             0.39149,             0.16334,            0.064087,             0.13835,                   0,            0.070155,           0.0033162,           0.0033162
                   1,            0.070319,             0.10501,                   0,             0.55231,             0.52242,             0.50353,             0.23357,            0.059215,             0.13212,                   0,            0.040115,           0.0066096,           0.0066096
                   2,            0.066081,             0.10318,                   0,             0.76225,             0.59266,             0.67073,             0.32209,            0.051462,             0.13874,                   0,            0.010035,            0.009863,            0.009863
                   3,            0.060286,             0.10319,                   0,             0.82543,             0.62242,             0.72584,             0.39647,            0.047255,             0.11562,                   0,             0.00982,             0.00982,             0.00982
                   4,            0.056969,             0.10054,                   0,             0.82218,             0.63061,             0.73435,             0.40772,            0.044906,             0.11456,                   0,             0.00982,             0.00982,             0.00982
                   5,            0.055076,             0.10055,                   0,             0.84379,             0.62481,             0.72683,             0.40946,            0.044747,             0.11369,                   0,             0.00976,             0.00976,             0.00976
                   6,            0.053421,            0.097009,                   0,             0.83329,             0.66221,             0.75591,             0.43564,            0.043356,             0.11295,                   0,              0.0097,              0.0097,              0.0097
                   7,             0.05238,             0.09646,                   0,             0.85613,             0.66103,             0.76385,             0.45152,            0.041568,             0.10893,                   0,             0.00964,             0.00964,             0.00964
                   8,            0.051414,            0.095473,                   0,             0.83768,             0.67424,             0.77176,             0.46258,            0.040975,             0.11114,                   0,             0.00958,             0.00958,             0.00958
                   9,            0.050971,            0.095214,                   0,             0.84584,              0.6733,             0.77182,             0.46756,            0.040128,             0.10727,                   0,             0.00952,             0.00952,             0.00952
                  10,             0.05017,            0.092729,                   0,             0.85896,             0.67424,             0.77981,             0.47611,            0.039785,             0.10591,                   0,             0.00946,             0.00946,             0.00946
                  11,            0.049489,            0.093945,                   0,             0.85592,             0.67736,             0.78286,             0.47478,             0.03969,             0.10587,                   0,              0.0094,              0.0094,              0.0094
                  12,            0.049487,            0.094096,                   0,             0.86581,             0.66868,             0.77748,             0.47682,            0.039943,              0.1056,                   0,             0.00934,             0.00934,             0.00934
                  13,            0.049251,            0.093189,                   0,             0.84756,             0.68094,             0.78295,              0.4809,            0.039696,             0.10621,                   0,             0.00928,             0.00928,             0.00928
                  14,            0.048827,            0.091946,                   0,             0.86586,             0.69038,             0.79049,             0.49139,            0.038578,             0.10327,                   0,             0.00922,             0.00922,             0.00922
                  15,            0.048431,            0.092071,                   0,             0.86049,             0.69671,             0.79666,             0.49185,             0.03851,             0.10351,                   0,             0.00916,             0.00916,             0.00916
                  16,            0.048066,            0.091363,                   0,             0.87328,              0.6804,             0.78247,             0.49057,            0.038415,             0.10317,                   0,              0.0091,              0.0091,              0.0091
                  17,            0.048119,            0.091014,                   0,             0.86874,              0.6882,               0.795,             0.49335,            0.038471,             0.10412,                   0,             0.00904,             0.00904,             0.00904
                  18,            0.047687,            0.088625,                   0,             0.87262,             0.68879,             0.79414,             0.49404,             0.03829,             0.10222,                   0,             0.00898,             0.00898,             0.00898
                  19,            0.048125,            0.089416,                   0,             0.86598,             0.69008,             0.79723,             0.49366,            0.038626,              0.1028,                   0,             0.00892,             0.00892,             0.00892
                  20,            0.048035,            0.089981,                   0,              0.8651,             0.70176,             0.79893,             0.49958,            0.037829,             0.10313,                   0,             0.00886,             0.00886,             0.00886
                  21,            0.047405,            0.089745,                   0,             0.86103,             0.69061,             0.79807,              0.5012,            0.037945,             0.10276,                   0,              0.0088,              0.0088,              0.0088
                  22,            0.047411,            0.090542,                   0,             0.86034,             0.69935,             0.80162,              0.5066,            0.037631,             0.10227,                   0,             0.00874,             0.00874,             0.00874
                  23,             0.04739,            0.089498,                   0,             0.87719,             0.69834,             0.80417,             0.50951,            0.037442,             0.10173,                   0,             0.00868,             0.00868,             0.00868
                  24,            0.047173,            0.090285,                   0,             0.85738,             0.70393,             0.80153,             0.50254,              0.0376,             0.10124,                   0,             0.00862,             0.00862,             0.00862
                  25,            0.046991,            0.090431,                   0,             0.87023,             0.69896,             0.80357,             0.50935,            0.037464,             0.10048,                   0,             0.00856,             0.00856,             0.00856
                  26,            0.046869,            0.088574,                   0,             0.86828,             0.71105,             0.81073,             0.51394,            0.037136,             0.10009,                   0,              0.0085,              0.0085,              0.0085
                  27,            0.046806,            0.087903,                   0,             0.87114,             0.71021,             0.80999,             0.51082,             0.03727,             0.10061,                   0,             0.00844,             0.00844,             0.00844
                  28,            0.046624,            0.087901,                   0,             0.87314,               0.702,             0.80641,             0.51153,            0.037197,            0.099945,                   0,             0.00838,             0.00838,             0.00838
                  29,             0.04646,            0.089067,                   0,             0.88194,             0.69574,             0.80827,             0.51577,            0.037021,            0.099987,                   0,             0.00832,             0.00832,             0.00832
                  30,            0.046586,            0.087841,                   0,             0.87862,             0.70593,             0.80969,             0.51574,            0.036934,            0.099796,                   0,             0.00826,             0.00826,             0.00826
                  31,            0.046874,            0.088977,                   0,             0.86383,             0.71039,             0.80827,             0.51326,             0.03715,             0.10055,                   0,              0.0082,              0.0082,              0.0082
                  32,            0.046389,            0.088688,                   0,             0.88219,             0.69965,             0.80956,             0.51516,            0.036996,             0.09915,                   0,             0.00814,             0.00814,             0.00814
                  33,            0.046424,            0.087823,                   0,             0.87743,             0.70376,             0.80971,             0.51478,            0.036844,            0.099227,                   0,             0.00808,             0.00808,             0.00808
                  34,            0.046087,            0.087872,                   0,             0.87719,             0.70246,             0.81091,             0.51583,            0.036923,            0.099981,                   0,             0.00802,             0.00802,             0.00802
                  35,            0.046142,            0.087555,                   0,              0.8757,             0.71227,             0.81209,             0.52007,            0.036671,            0.098751,                   0,             0.00796,             0.00796,             0.00796
                  36,            0.046019,              0.0871,                   0,              0.8812,             0.70921,             0.81322,             0.51804,            0.036586,            0.098923,                   0,              0.0079,              0.0079,              0.0079
                  37,            0.046131,            0.087797,                   0,             0.86864,             0.71363,             0.81347,             0.51804,            0.036699,            0.099574,                   0,             0.00784,             0.00784,             0.00784
                  38,            0.045924,            0.087643,                   0,             0.87234,             0.71514,               0.813,              0.5227,            0.036418,            0.098453,                   0,             0.00778,             0.00778,             0.00778
                  39,            0.045675,            0.088067,                   0,             0.86829,             0.71244,             0.81198,             0.51894,            0.036569,            0.099301,                   0,             0.00772,             0.00772,             0.00772
                  40,            0.045753,            0.087187,                   0,             0.88061,             0.71506,             0.81752,             0.52396,            0.036282,            0.098892,                   0,             0.00766,             0.00766,             0.00766
                  41,             0.04582,            0.087376,                   0,             0.87788,             0.71212,              0.8146,             0.52171,            0.036339,            0.098817,                   0,              0.0076,              0.0076,              0.0076
